Episode:194 score:-151.89 avgscore:-144.38 highscore:9.31 time:1.12
Episode:195 score:-159.57 avgscore:-145.47 highscore:9.31 time:1.33
Episode:196 score:-390.15 avgscore:-151.56 highscore:9.31 time:1.17
Episode:197 score:-39.89 avgscore:-148.99 highscore:9.31 time:0.97
Episode:198 score:-67.66 avgscore:-142.55 highscore:9.31 time:0.56
Episode:199 score:-161.17 avgscore:-144.00 highscore:9.31 time:0.85
Episode:200 score:-115.01 avgscore:-144.43 highscore:9.31 time:1.19

Evaluation at episode 200
Evaluation Episode:1 score:-110.01527471674666
Evaluation Episode:2 score:-107.49230162871125
Evaluation Episode:3 score:-142.53502680194205
Evaluation Episode:4 score:-449.9969643925238
Evaluation Episode:5 score:-81.61389183596106
Evaluation Episode:6 score:-97.20870721136437
Evaluation Episode:7 score:-118.47709743988003
Evaluation Episode:8 score:-92.5233838617419
Evaluation Episode:9 score:-63.091889069171174
Evaluation Episode:10 score:-156.28678633948152
Evaluation at episode 200 average evaluation score:-141.92413232975235

Episode:201 score:-100.45 avgscore:-144.56 highscore:9.31 time:5.91
Episode:202 score:-100.34 avgscore:-144.68 highscore:9.31 time:0.69
Episode:203 score:-95.24 avgscore:-139.47 highscore:9.31 time:0.75
Episode:204 score:-88.41 avgscore:-139.19 highscore:9.31 time:0.58
Episode:205 score:-174.59 avgscore:-141.42 highscore:9.31 time:0.73
Episode:206 score:-96.97 avgscore:-140.82 highscore:9.31 time:0.74
Episode:207 score:-298.31 avgscore:-146.66 highscore:9.31 time:0.99
Episode:208 score:-102.80 avgscore:-143.06 highscore:9.31 time:0.87
Episode:209 score:-91.78 avgscore:-143.17 highscore:9.31 time:0.64
Episode:210 score:-195.73 avgscore:-144.79 highscore:9.31 time:0.62
Episode:211 score:-116.66 avgscore:-144.12 highscore:9.31 time:0.74
Episode:212 score:-110.46 avgscore:-142.31 highscore:9.31 time:0.67
Episode:213 score:-68.80 avgscore:-142.25 highscore:9.31 time:1.24
Episode:214 score:-106.24 avgscore:-141.68 highscore:9.31 time:0.70
Episode:215 score:-110.09 avgscore:-140.65 highscore:9.31 time:0.81
Episode:216 score:-277.77 avgscore:-143.76 highscore:9.31 time:0.64
Episode:217 score:-128.45 avgscore:-144.48 highscore:9.31 time:0.62
Episode:218 score:-105.44 avgscore:-143.65 highscore:9.31 time:0.90
Episode:219 score:-213.66 avgscore:-143.69 highscore:9.31 time:1.21
Episode:220 score:-171.77 avgscore:-144.27 highscore:9.31 time:1.20
Episode:221 score:-115.72 avgscore:-141.68 highscore:9.31 time:0.66
Episode:222 score:-448.91 avgscore:-149.16 highscore:9.31 time:1.33
Episode:223 score:-118.30 avgscore:-150.21 highscore:9.31 time:1.06
Episode:224 score:-254.21 avgscore:-152.04 highscore:9.31 time:0.90
Episode:225 score:-124.51 avgscore:-152.66 highscore:9.31 time:0.92
Episode:226 score:-68.34 avgscore:-152.34 highscore:9.31 time:0.60
Episode:227 score:28.37 avgscore:-147.63 highscore:28.37 time:0.98
Episode:228 score:-243.17 avgscore:-148.80 highscore:28.37 time:1.05
Episode:229 score:-9.55 avgscore:-147.17 highscore:28.37 time:0.95
Episode:230 score:-288.93 avgscore:-150.66 highscore:28.37 time:1.00
Episode:231 score:-84.23 avgscore:-149.08 highscore:28.37 time:0.54
Episode:232 score:-289.68 avgscore:-149.53 highscore:28.37 time:1.09
Episode:233 score:-366.35 avgscore:-151.96 highscore:28.37 time:0.77
Episode:234 score:-143.49 avgscore:-149.48 highscore:28.37 time:0.71
Episode:235 score:-163.69 avgscore:-150.26 highscore:28.37 time:0.94
Episode:236 score:-245.37 avgscore:-152.76 highscore:28.37 time:0.81
Episode:237 score:-75.32 avgscore:-153.01 highscore:28.37 time:0.56
Episode:238 score:-146.75 avgscore:-154.38 highscore:28.37 time:0.57
Episode:239 score:25.49 avgscore:-146.72 highscore:28.37 time:0.79
Episode:240 score:-125.04 avgscore:-145.52 highscore:28.37 time:0.77
Episode:241 score:-131.42 avgscore:-146.37 highscore:28.37 time:0.63
Episode:242 score:-63.04 avgscore:-147.60 highscore:28.37 time:0.76
Episode:243 score:-115.28 avgscore:-148.13 highscore:28.37 time:0.70
Episode:244 score:-142.08 avgscore:-147.94 highscore:28.37 time:0.65
Episode:245 score:-82.29 avgscore:-146.39 highscore:28.37 time:0.79
Episode:246 score:-94.95 avgscore:-140.49 highscore:28.37 time:0.92
Episode:247 score:-81.64 avgscore:-141.32 highscore:28.37 time:0.63
Episode:248 score:-194.99 avgscore:-143.87 highscore:28.37 time:0.80
Episode:249 score:-168.17 avgscore:-144.01 highscore:28.37 time:1.03
Episode:250 score:-111.60 avgscore:-143.94 highscore:28.37 time:0.72
Episode:251 score:-183.75 avgscore:-145.61 highscore:28.37 time:0.91
Episode:252 score:-80.14 avgscore:-145.20 highscore:28.37 time:0.68
Episode:253 score:-325.18 avgscore:-149.80 highscore:28.37 time:1.07
Episode:254 score:-163.78 avgscore:-151.31 highscore:28.37 time:0.67
Episode:255 score:-98.57 avgscore:-149.79 highscore:28.37 time:0.66
Episode:256 score:-172.87 avgscore:-151.31 highscore:28.37 time:0.50
Episode:257 score:-155.59 avgscore:-148.45 highscore:28.37 time:0.97
Episode:258 score:-97.97 avgscore:-148.36 highscore:28.37 time:0.70
Episode:259 score:-8.88 avgscore:-146.70 highscore:28.37 time:0.98
Episode:260 score:-91.73 avgscore:-144.62 highscore:28.37 time:1.01
Episode:261 score:-98.12 avgscore:-144.25 highscore:28.37 time:0.65
Episode:262 score:-150.47 avgscore:-145.05 highscore:28.37 time:0.76
Episode:263 score:-112.42 avgscore:-145.92 highscore:28.37 time:0.73
Episode:264 score:-130.18 avgscore:-146.40 highscore:28.37 time:1.07
Episode:265 score:-93.25 avgscore:-146.06 highscore:28.37 time:0.53
Episode:266 score:-156.42 avgscore:-143.64 highscore:28.37 time:0.94
Episode:267 score:-111.74 avgscore:-143.30 highscore:28.37 time:0.85
Episode:268 score:-48.96 avgscore:-142.17 highscore:28.37 time:0.57
Episode:269 score:-116.46 avgscore:-140.23 highscore:28.37 time:0.66
Episode:270 score:-127.28 avgscore:-139.34 highscore:28.37 time:1.05
Episode:271 score:-101.46 avgscore:-139.05 highscore:28.37 time:0.74
Episode:272 score:-113.41 avgscore:-132.34 highscore:28.37 time:0.76
Episode:273 score:-105.86 avgscore:-132.09 highscore:28.37 time:0.77
Episode:274 score:-420.58 avgscore:-135.42 highscore:28.37 time:0.81
Episode:275 score:-61.59 avgscore:-134.16 highscore:28.37 time:0.69
Episode:276 score:-125.60 avgscore:-135.31 highscore:28.37 time:0.99
Episode:277 score:-105.18 avgscore:-137.98 highscore:28.37 time:0.76
Episode:278 score:-100.53 avgscore:-135.13 highscore:28.37 time:0.86
Episode:279 score:-85.59 avgscore:-136.65 highscore:28.37 time:0.57
Episode:280 score:-104.60 avgscore:-132.96 highscore:28.37 time:1.08
Episode:281 score:-80.22 avgscore:-132.88 highscore:28.37 time:0.56
Episode:282 score:-132.87 avgscore:-129.75 highscore:28.37 time:0.96
Episode:283 score:-79.19 avgscore:-124.00 highscore:28.37 time:0.53
Episode:284 score:-68.17 avgscore:-122.50 highscore:28.37 time:0.85
Episode:285 score:-105.69 avgscore:-121.34 highscore:28.37 time:0.99
Episode:286 score:-79.74 avgscore:-118.02 highscore:28.37 time:1.11
Episode:287 score:-105.43 avgscore:-118.62 highscore:28.37 time:0.72
Episode:288 score:-111.77 avgscore:-117.92 highscore:28.37 time:0.88
Episode:289 score:-25.50 avgscore:-118.94 highscore:28.37 time:0.58
Episode:290 score:-102.59 avgscore:-118.50 highscore:28.37 time:0.57
Episode:291 score:-164.55 avgscore:-119.16 highscore:28.37 time:0.82
Episode:292 score:-108.17 avgscore:-120.06 highscore:28.37 time:0.48
Episode:293 score:-511.47 avgscore:-127.98 highscore:28.37 time:51.65
Episode:294 score:-77.41 avgscore:-126.69 highscore:28.37 time:0.72
