Episode:167 score:-353.81 avgscore:-168.35 highscore:48.67
Episode:168 score:-265.95 avgscore:-170.65 highscore:48.67
Episode:169 score:-362.04 avgscore:-176.45 highscore:48.67
Episode:170 score:-88.25 avgscore:-175.23 highscore:48.67
Episode:171 score:-199.11 avgscore:-173.04 highscore:48.67
Episode:172 score:-89.97 avgscore:-170.38 highscore:48.67
Episode:173 score:-139.00 avgscore:-171.17 highscore:48.67
Episode:174 score:-73.82 avgscore:-164.86 highscore:48.67
Episode:175 score:-352.83 avgscore:-170.31 highscore:48.67
Episode:176 score:-100.21 avgscore:-170.71 highscore:48.67
Episode:177 score:-44.93 avgscore:-167.38 highscore:48.67
Episode:178 score:-74.21 avgscore:-167.45 highscore:48.67
Episode:179 score:-207.24 avgscore:-169.40 highscore:48.67
Episode:180 score:-113.31 avgscore:-169.59 highscore:48.67
Episode:181 score:-110.84 avgscore:-169.35 highscore:48.67
Episode:182 score:-86.16 avgscore:-168.55 highscore:48.67
Episode:183 score:-410.00 avgscore:-174.96 highscore:48.67
Episode:184 score:-88.42 avgscore:-172.32 highscore:48.67
Episode:185 score:-246.90 avgscore:-173.01 highscore:48.67
Episode:186 score:-142.76 avgscore:-171.06 highscore:48.67
Episode:187 score:-135.16 avgscore:-172.92 highscore:48.67
Episode:188 score:-111.12 avgscore:-172.90 highscore:48.67
Episode:189 score:-77.56 avgscore:-168.11 highscore:48.67
Episode:190 score:-457.84 avgscore:-175.19 highscore:48.67
Episode:191 score:-129.58 avgscore:-168.40 highscore:48.67
Episode:192 score:-211.22 avgscore:-170.26 highscore:48.67
Episode:193 score:-124.34 avgscore:-169.14 highscore:48.67
Episode:194 score:-109.35 avgscore:-168.39 highscore:48.67
Episode:195 score:-106.86 avgscore:-167.48 highscore:48.67
Episode:196 score:-136.53 avgscore:-166.69 highscore:48.67
Episode:197 score:-229.55 avgscore:-169.30 highscore:48.67
Episode:198 score:-78.35 avgscore:-162.76 highscore:48.67
Episode:199 score:-310.32 avgscore:-160.85 highscore:48.67
Episode:200 score:-112.90 avgscore:-156.33 highscore:48.67

Evaluation at episode 200
Evaluation Episode:1 score:-144.33414730897425
Evaluation Episode:2 score:-103.30240820558343
Evaluation Episode:3 score:-164.4805616568682
Evaluation Episode:4 score:-333.11735909293213
Evaluation Episode:5 score:-143.00256180018755
Evaluation Episode:6 score:-222.51482218436695
Evaluation Episode:7 score:-255.2385233348615
Evaluation Episode:8 score:-370.50393807217404
Evaluation Episode:9 score:-86.20330785320147
Evaluation Episode:10 score:-90.633898435544
Evaluation at episode:200 average evaluation score:-191.33315279446938

Episode:201 score:-88.75 avgscore:-155.60 highscore:48.67
Episode:202 score:-12.41 avgscore:-153.93 highscore:48.67
Episode:203 score:-220.82 avgscore:-157.14 highscore:48.67
Episode:204 score:-59.50 avgscore:-156.30 highscore:48.67
Episode:205 score:-156.02 avgscore:-156.08 highscore:48.67
Episode:206 score:-60.91 avgscore:-154.77 highscore:48.67
Episode:207 score:-125.78 avgscore:-155.28 highscore:48.67
Episode:208 score:-44.95 avgscore:-153.77 highscore:48.67
Episode:209 score:-207.15 avgscore:-157.69 highscore:48.67
Episode:210 score:-115.38 avgscore:-155.19 highscore:48.67
Episode:211 score:-82.74 avgscore:-154.09 highscore:48.67
Episode:212 score:-352.52 avgscore:-159.40 highscore:48.67
Episode:213 score:-7.29 avgscore:-157.01 highscore:48.67
Episode:214 score:-173.69 avgscore:-155.35 highscore:48.67
Episode:215 score:-295.22 avgscore:-159.50 highscore:48.67
Episode:216 score:-96.33 avgscore:-159.60 highscore:48.67
Episode:217 score:-116.19 avgscore:-154.85 highscore:48.67
Episode:218 score:-259.34 avgscore:-154.71 highscore:48.67
Episode:219 score:-180.76 avgscore:-151.09 highscore:48.67
Episode:220 score:-272.22 avgscore:-154.77 highscore:48.67
Episode:221 score:-125.41 avgscore:-153.29 highscore:48.67
Episode:222 score:-182.20 avgscore:-155.14 highscore:48.67
Episode:223 score:-30.71 avgscore:-152.97 highscore:48.67
Episode:224 score:-87.71 avgscore:-153.25 highscore:48.67
Episode:225 score:-131.06 avgscore:-148.81 highscore:48.67
Episode:226 score:-322.65 avgscore:-153.26 highscore:48.67
Episode:227 score:-161.17 avgscore:-155.59 highscore:48.67
Episode:228 score:-189.19 avgscore:-157.89 highscore:48.67
Episode:229 score:-131.88 avgscore:-156.38 highscore:48.67
Episode:230 score:-333.16 avgscore:-160.78 highscore:48.67
Episode:231 score:-134.79 avgscore:-161.26 highscore:48.67
Episode:232 score:-98.63 avgscore:-161.51 highscore:48.67
Episode:233 score:-87.53 avgscore:-155.06 highscore:48.67
Episode:234 score:-168.32 avgscore:-156.65 highscore:48.67
Episode:235 score:-154.94 avgscore:-154.82 highscore:48.67
Episode:236 score:-3.02 avgscore:-152.02 highscore:48.67
Episode:237 score:-275.91 avgscore:-154.84 highscore:48.67
Episode:238 score:-131.77 avgscore:-155.25 highscore:48.67
Episode:239 score:-120.87 avgscore:-156.11 highscore:48.67
Episode:240 score:-51.25 avgscore:-147.98 highscore:48.67
Episode:241 score:-104.27 avgscore:-147.48 highscore:48.67
Episode:242 score:-133.98 avgscore:-145.93 highscore:48.67
Episode:243 score:-342.93 avgscore:-150.30 highscore:48.67
Episode:244 score:-451.83 avgscore:-157.15 highscore:48.67
Episode:245 score:-325.86 avgscore:-161.53 highscore:48.67
Episode:246 score:-242.90 avgscore:-163.66 highscore:48.67
Episode:247 score:-230.64 avgscore:-163.68 highscore:48.67
Episode:248 score:-98.22 avgscore:-164.08 highscore:48.67
Episode:249 score:-84.86 avgscore:-159.57 highscore:48.67
Episode:250 score:-127.47 avgscore:-159.86 highscore:48.67
Episode:251 score:-43.12 avgscore:-158.95 highscore:48.67
Episode:252 score:-95.74 avgscore:-160.62 highscore:48.67
Episode:253 score:-152.83 avgscore:-159.26 highscore:48.67
Episode:254 score:-75.15 avgscore:-159.57 highscore:48.67
Episode:255 score:-88.79 avgscore:-158.22 highscore:48.67
Episode:256 score:-164.36 avgscore:-160.29 highscore:48.67
Episode:257 score:-61.65 avgscore:-159.01 highscore:48.67
Episode:258 score:-142.69 avgscore:-160.97 highscore:48.67
Episode:259 score:-282.58 avgscore:-162.47 highscore:48.67
Episode:260 score:-256.51 avgscore:-165.30 highscore:48.67
Episode:261 score:-66.73 avgscore:-164.98 highscore:48.67
Episode:262 score:-120.43 avgscore:-160.34 highscore:48.67
Episode:263 score:-75.56 avgscore:-161.70 highscore:48.67
Episode:264 score:-85.74 avgscore:-159.94 highscore:48.67
Episode:265 score:-236.46 avgscore:-158.77 highscore:48.67
Episode:266 score:-117.32 avgscore:-159.19 highscore:48.67
Episode:267 score:-185.24 avgscore:-160.57 highscore:48.67
Episode:268 score:-211.03 avgscore:-159.60 highscore:48.67
Episode:269 score:-91.78 avgscore:-157.82 highscore:48.67
Episode:270 score:-110.63 avgscore:-154.59 highscore:48.67
Episode:271 score:-79.67 avgscore:-153.68 highscore:48.67
Episode:272 score:-66.65 avgscore:-151.36 highscore:48.67
Episode:273 score:-123.91 avgscore:-153.23 highscore:48.67
Episode:274 score:-86.67 avgscore:-153.21 highscore:48.67
Episode:275 score:-106.63 avgscore:-152.72 highscore:48.67
Episode:276 score:-76.88 avgscore:-147.80 highscore:48.67
Episode:277 score:-68.68 avgscore:-145.95 highscore:48.67
Episode:278 score:-259.23 avgscore:-147.35 highscore:48.67
Episode:279 score:-79.59 avgscore:-146.31 highscore:48.67
Episode:280 score:-95.06 avgscore:-141.55 highscore:48.67
Episode:281 score:-112.80 avgscore:-141.11 highscore:48.67
Episode:282 score:-52.83 avgscore:-140.19 highscore:48.67
Episode:283 score:-136.96 avgscore:-141.18 highscore:48.67
Episode:284 score:-112.68 avgscore:-140.07 highscore:48.67
Episode:285 score:-89.29 avgscore:-138.75 highscore:48.67
Episode:286 score:-155.13 avgscore:-141.80 highscore:48.67
Episode:287 score:-111.13 avgscore:-138.50 highscore:48.67
Episode:288 score:-80.01 avgscore:-137.46 highscore:48.67
Episode:289 score:-368.07 avgscore:-142.41 highscore:48.67
Episode:290 score:-253.55 avgscore:-146.45 highscore:48.67
Episode:291 score:-82.99 avgscore:-146.03 highscore:48.67
Episode:292 score:-111.21 avgscore:-145.57 highscore:48.67
Episode:293 score:-92.47 avgscore:-140.56 highscore:48.67
Episode:294 score:-243.27 avgscore:-136.39 highscore:48.67
Episode:295 score:-63.04 avgscore:-131.14 highscore:48.67
Episode:296 score:-101.53 avgscore:-128.31 highscore:48.67
Episode:297 score:-93.27 avgscore:-125.56 highscore:48.67
Episode:298 score:-90.05 avgscore:-125.40 highscore:48.67
Episode:299 score:-82.64 avgscore:-125.35 highscore:48.67
Episode:300 score:-112.43 avgscore:-125.05 highscore:48.67

Evaluation at episode 300
Evaluation Episode:1 score:-63.719404096461076
Evaluation Episode:2 score:-92.0574910609337
Evaluation Episode:3 score:-179.41009563916913
Evaluation Episode:4 score:-137.97595976564207
Evaluation Episode:5 score:-121.81313411573467
Evaluation Episode:6 score:-89.71129526618827
Evaluation Episode:7 score:-135.2358988044404
Evaluation Episode:8 score:-90.16694336102572
Evaluation Episode:9 score:-120.79051187530332
Evaluation Episode:10 score:-87.32728434323843
Evaluation at episode:300 average evaluation score:-111.82080183281369

Episode:301 score:-114.57 avgscore:-126.48 highscore:48.67
Episode:302 score:-325.08 avgscore:-131.07 highscore:48.67
Episode:303 score:-83.42 avgscore:-129.68 highscore:48.67
Episode:304 score:-152.43 avgscore:-131.23 highscore:48.67
Episode:305 score:-306.14 avgscore:-135.57 highscore:48.67
Episode:306 score:-233.88 avgscore:-136.96 highscore:48.67
Episode:307 score:-110.26 avgscore:-137.94 highscore:48.67
Episode:308 score:-140.23 avgscore:-137.89 highscore:48.67
Episode:309 score:-135.54 avgscore:-134.95 highscore:48.67
Episode:310 score:-164.95 avgscore:-133.11 highscore:48.67
Episode:311 score:-54.30 avgscore:-132.87 highscore:48.67
Episode:312 score:-265.41 avgscore:-135.77 highscore:48.67
Episode:313 score:-96.01 avgscore:-136.17 highscore:48.67
Episode:314 score:-154.61 avgscore:-137.55 highscore:48.67
Episode:315 score:-211.99 avgscore:-137.06 highscore:48.67
Episode:316 score:-96.25 avgscore:-136.64 highscore:48.67
Episode:317 score:-250.79 avgscore:-137.95 highscore:48.67
Episode:318 score:-196.49 avgscore:-137.66 highscore:48.67
Episode:319 score:-89.68 avgscore:-137.62 highscore:48.67
Episode:320 score:-39.99 avgscore:-136.21 highscore:48.67
Episode:321 score:-264.60 avgscore:-139.90 highscore:48.67
Episode:322 score:-364.10 avgscore:-145.85 highscore:48.67
Episode:323 score:-91.53 avgscore:-145.21 highscore:48.67
Episode:324 score:-66.59 avgscore:-144.80 highscore:48.67
Episode:325 score:-178.10 avgscore:-146.23 highscore:48.67
Episode:326 score:-101.22 avgscore:-146.72 highscore:48.67
Episode:327 score:-162.37 avgscore:-148.59 highscore:48.67
Episode:328 score:-114.83 avgscore:-145.71 highscore:48.67
Episode:329 score:-109.17 avgscore:-146.30 highscore:48.67
Episode:330 score:-110.20 avgscore:-146.60 highscore:48.67
Episode:331 score:-115.29 avgscore:-146.65 highscore:48.67
Episode:332 score:-117.94 avgscore:-147.95 highscore:48.67
Episode:333 score:-139.45 avgscore:-148.00 highscore:48.67
Episode:334 score:-208.00 avgscore:-149.91 highscore:48.67
Episode:335 score:-257.34 avgscore:-153.27 highscore:48.67
Episode:336 score:-330.51 avgscore:-156.78 highscore:48.67
Episode:337 score:-122.48 avgscore:-157.01 highscore:48.67
Episode:338 score:-118.33 avgscore:-157.77 highscore:48.67
Episode:339 score:-109.41 avgscore:-152.60 highscore:48.67
Episode:340 score:-208.90 avgscore:-151.71 highscore:48.67
Episode:341 score:-78.56 avgscore:-151.62 highscore:48.67
Episode:342 score:-265.40 avgscore:-154.70 highscore:48.67
Episode:343 score:-186.61 avgscore:-156.58 highscore:48.67
Episode:344 score:-139.89 avgscore:-154.52 highscore:48.67
Episode:345 score:-209.85 avgscore:-157.45 highscore:48.67
Episode:346 score:-75.97 avgscore:-156.94 highscore:48.67
Episode:347 score:-94.51 avgscore:-156.97 highscore:48.67
Episode:348 score:-282.97 avgscore:-160.82 highscore:48.67
Episode:349 score:-78.30 avgscore:-160.74 highscore:48.67
Episode:350 score:-295.63 avgscore:-164.40 highscore:48.67
Episode:351 score:-51.03 avgscore:-163.13 highscore:48.67
